Country,"Density
(P/Km2)",Land Area(Km2),Calling Code,Capital/Major City,GDP,Official language,Population,Urban_population,Latitude,Longitude
Haiti,414,"27,750",509.0,Port-au-Prince,"$8,498,981,821 ",French,"11,263,077","6,328,948",18.971187,-72.285215
Vatican City,"2,003",0,379.0,Vatican City,,Italian,836,,41.902916,12.453389
Honduras,89,"112,090",504.0,Tegucigalpa,"$25,095,395,475 ",Spanish,"9,746,117","5,626,433",15.199999,-86.241905
Hungary,107,"93,028",36.0,Budapest,"$160,967,157,504 ",Hungarian,"9,769,949","6,999,582",47.162494,19.503304
Iceland,3,"103,000",354.0,Reykjav��,"$24,188,035,739 ",Icelandic,"361,313","339,110",64.963051,-19.020835
India,464,"3,287,263",91.0,New Delhi,"$2,611,000,000,000 ",Hindi,"1,366,417,754","471,031,528",20.593684,78.96288
Indonesia,151,"1,904,569",62.0,Jakarta,"$1,119,190,780,753 ",Indonesian,"270,203,917","151,509,724",-0.789275,113.921327
Iran,52,"1,648,195",98.0,Tehran,"$445,345,282,123 ",Persian,"82,913,906","62,509,623",32.427908,53.688046
Iraq,93,"438,317",964.0,Baghdad,"$234,094,042,939 ",Arabic,"39,309,783","27,783,368",33.223191,43.679291
Republic of Ireland,72,"70,273",353.0,Dublin,"$388,698,711,348 ",Irish,"5,007,069","3,133,123",53.41291,-8.24389
Israel,400,"20,770",972.0,Jerusalem,"$395,098,666,122 ",Hebrew,"9,053,300","8,374,393",31.046051,34.851612
Italy,206,"301,340",39.0,Rome,"$2,001,244,392,042 ",Italian,"60,297,396","42,651,966",41.87194,12.56738
Jamaica,273,"10,991",1876.0,"Kingston, Jamaica","$16,458,071,068 ",Jamaican English,"2,948,279","1,650,594",18.109581,-77.297508
Japan,347,"377,944",81.0,Tokyo,"$5,081,769,542,380 ",None,"126,226,568","115,782,416",36.204824,138.252924
Jordan,115,"89,342",962.0,Amman,"$43,743,661,972 ",Arabic,"10,101,694","9,213,048",30.585164,36.238414
Kazakhstan,7,"2,724,900",7.0,Astana,"$180,161,741,180 ",Russian,"18,513,930","10,652,915",48.019573,66.923684
Kenya,94,"580,367",254.0,Nairobi,"$95,503,088,538 ",Swahili,"52,573,973","14,461,523",-0.023559,37.906193
Kiribati,147,811,686.0,South Tarawa,"$194,647,202 ",English,"117,606","64,489",1.8368976,-157.3768317
Kuwait,240,"17,818",965.0,Kuwait City,"$134,761,198,946 ",Modern Standard Arabic,"4,207,083","4,207,083",29.31166,47.481766
Kyrgyzstan,34,"199,951",996.0,Bishkek,"$8,454,619,608 ",Russian,"6,456,900","2,362,644",41.20438,74.766098
Laos,32,"236,800",856.0,Vientiane,"$18,173,839,128 ",Lao,"7,169,455","2,555,552",19.85627,102.495496
Latvia,30,"64,589",371.0,Riga,"$34,117,202,555 ",Latvian,"1,912,789","1,304,943",56.879635,24.603189
Lebanon,667,"10,400",961.0,Beirut,"$53,367,042,272 ",Arabic,"6,855,713","6,084,994",33.854721,35.862285
